Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,House
1,4,4,4,2,3,2,4,3,4,Slytherin
3,3,3,3,3,3,1,2,3,3,Ravenclaw
3,4,1,3,2,2,4,3,3,3,Ravenclaw
2,3,1,3,2,2,2,2,1,2,Hufflepuff
4,2,4,3,4,4,4,1,4,1,Slytherin
1,1,2,1,1,4,3,1,1,1,Gryffindor
4,1,4,3,4,1,4,2,1,4,Slytherin
3,3,3,3,2,3,2,1,2,3,Ravenclaw
1,3,3,2,3,3,3,3,3,3,Ravenclaw
2,2,2,2,2,2,2,2,2,4,Hufflepuff
2,2,2,2,2,2,2,2,3,2,Hufflepuff
4,4,4,4,4,3,4,4,4,4,Slytherin
3,3,4,3,3,3,3,3,3,3,Ravenclaw
3,2,1,2,3,3,3,3,3,2,Ravenclaw
3,3,3,3,3,3,3,3,3,2,Ravenclaw
2,1,4,3,1,1,1,1,3,1,Gryffindor
4,4,1,3,1,1,3,1,2,1,Gryffindor
2,3,2,2,1,2,2,2,3,1,Hufflepuff
4,4,1,3,4,4,4,4,4,4,Slytherin
4,3,4,4,4,4,4,4,4,3,Slytherin
3,3,3,3,3,3,3,3,4,2,Ravenclaw
2,3,3,4,2,2,3,3,2,3,Ravenclaw
1,4,3,1,3,1,1,1,4,1,Gryffindor
1,1,1,1,1,1,3,1,2,1,Gryffindor
4,2,4,2,3,4,4,2,2,2,Hufflepuff
1,1,4,3,2,1,3,1,2,1,Gryffindor
2,2,2,2,2,2,2,2,2,2,Hufflepuff
1,4,2,1,4,1,1,1,2,1,Gryffindor
4,1,1,1,4,2,1,1,1,1,Gryffindor
4,4,4,2,4,4,4,1,3,1,Slytherin
3,3,3,3,3,3,3,3,3,3,Ravenclaw
2,1,1,1,1,1,1,3,1,2,Gryffindor
2,1,1,1,1,3,1,2,1,2,Gryffindor
3,1,1,1,1,1,1,3,1,1,Gryffindor
4,3,3,1,4,1,4,4,3,4,Slytherin
4,4,4,2,1,4,4,4,4,4,Slytherin
1,1,1,1,1,1,1,1,1,2,Gryffindor
1,1,1,1,1,2,1,2,1,1,Gryffindor
1,1,3,4,2,4,1,1,1,1,Gryffindor
2,2,2,2,2,2,2,2,2,2,Hufflepuff
3,2,4,2,4,2,2,2,2,2,Hufflepuff
3,3,3,3,2,3,2,4,1,2,Ravenclaw
4,3,4,4,4,1,1,4,4,4,Slytherin
1,3,2,2,2,1,3,2,2,2,Hufflepuff
4,1,1,1,1,1,1,1,1,1,Gryffindor
4,1,3,2,2,2,2,1,2,4,Hufflepuff
4,1,4,4,4,4,4,4,3,4,Slytherin
1,1,1,1,1,1,2,1,4,1,Gryffindor
3,4,3,4,2,1,4,3,1,1,Slytherin
1,3,3,1,1,1,1,1,1,1,Gryffindor
1,1,1,1,3,1,1,1,1,1,Gryffindor
4,4,1,2,4,4,4,4,4,4,Slytherin
2,4,1,3,2,2,2,2,2,2,Hufflepuff
3,3,3,3,3,3,4,3,3,3,Ravenclaw
1,3,1,1,2,1,1,1,1,1,Gryffindor
1,4,3,4,4,1,1,3,4,4,Ravenclaw
2,2,4,2,2,2,2,4,3,4,Hufflepuff
3,1,3,3,3,3,4,3,2,4,Ravenclaw
4,4,3,4,4,2,4,4,2,4,Slytherin
3,3,3,3,3,3,3,3,4,3,Ravenclaw
1,1,2,1,3,4,4,2,1,3,Gryffindor
2,4,4,4,4,4,4,4,4,4,Slytherin
3,1,4,4,4,4,4,4,4,1,Slytherin
2,2,1,2,2,2,2,2,2,2,Hufflepuff
4,4,4,1,4,1,4,4,4,3,Slytherin
1,3,2,2,1,1,1,1,1,3,Gryffindor
4,1,4,4,4,4,4,4,4,4,Slytherin
2,2,4,4,4,2,4,1,4,4,Slytherin
4,4,4,1,4,4,4,4,4,4,Slytherin
4,4,4,4,4,4,4,4,4,1,Slytherin
3,3,3,3,3,3,3,3,3,3,Ravenclaw
2,4,3,3,1,1,1,1,3,1,Gryffindor
4,1,1,1,1,2,1,2,1,1,Gryffindor
1,4,3,1,4,4,4,4,4,4,Slytherin
3,3,3,3,3,3,3,3,3,3,Ravenclaw
1,3,3,3,3,3,3,3,3,1,Ravenclaw
1,3,3,2,4,3,1,3,3,3,Ravenclaw
3,3,3,3,3,3,3,3,2,3,Ravenclaw
1,3,2,1,4,2,2,2,2,2,Hufflepuff
4,4,2,4,1,3,4,3,4,4,Slytherin
2,2,2,2,3,2,2,2,4,2,Hufflepuff
4,3,1,3,3,3,4,3,1,3,Ravenclaw
1,1,1,1,2,4,1,4,2,4,Gryffindor
4,4,4,4,4,2,4,4,4,4,Slytherin
4,4,4,4,1,4,4,1,4,4,Slytherin
4,4,4,3,4,4,4,2,4,4,Slytherin
3,4,3,1,4,4,4,4,4,4,Slytherin
1,1,1,1,1,1,1,4,4,1,Gryffindor
1,1,1,2,1,1,4,4,1,1,Gryffindor
1,1,2,1,1,2,1,3,3,1,Gryffindor
1,1,1,1,1,1,2,2,1,1,Gryffindor
3,3,4,1,3,3,3,2,1,3,Ravenclaw
1,2,1,4,1,1,4,1,1,1,Gryffindor
2,2,2,1,3,2,2,2,2,3,Hufflepuff
3,3,4,1,3,3,3,4,3,3,Ravenclaw
2,2,4,2,2,4,1,2,2,2,Hufflepuff
2,2,1,2,4,2,2,2,2,2,Hufflepuff
1,3,1,3,2,1,1,1,1,3,Gryffindor
2,2,2,1,2,2,2,3,2,2,Hufflepuff
4,4,1,4,4,4,4,4,2,4,Slytherin
2,1,2,2,3,2,2,2,2,2,Hufflepuff
2,3,2,2,2,2,3,2,2,4,Hufflepuff
1,1,1,3,1,1,1,1,1,1,Gryffindor
4,3,3,3,3,2,4,4,3,3,Ravenclaw
4,1,4,4,4,4,4,4,4,4,Slytherin
2,2,2,3,2,2,2,2,2,4,Hufflepuff
4,3,1,4,3,4,4,2,4,1,Slytherin
3,1,4,1,3,3,3,3,3,3,Ravenclaw
4,1,3,1,4,1,1,4,4,1,Gryffindor
1,4,2,1,4,4,4,4,4,2,Slytherin
2,2,4,1,1,1,1,4,1,1,Gryffindor
2,4,1,2,2,3,2,1,1,3,Hufflepuff
1,1,1,4,1,3,4,1,4,4,Gryffindor
2,2,2,1,2,2,2,4,2,2,Hufflepuff
1,1,4,1,1,1,1,3,2,1,Gryffindor
1,4,4,1,4,1,1,1,1,4,Gryffindor
1,2,4,2,1,1,3,1,4,1,Gryffindor
2,1,3,1,1,2,1,1,3,1,Gryffindor
2,2,2,2,2,4,2,1,2,1,Hufflepuff
4,4,4,4,4,4,4,2,2,4,Slytherin
4,2,2,2,2,2,2,1,4,2,Hufflepuff
2,2,2,2,2,1,2,2,4,2,Hufflepuff
4,4,1,4,4,2,3,4,2,2,Slytherin
1,1,1,4,1,2,3,1,4,1,Gryffindor
2,2,3,2,4,2,2,2,2,2,Hufflepuff
1,1,3,1,1,1,3,2,1,1,Gryffindor
3,2,4,1,2,1,2,2,2,2,Hufflepuff
2,4,4,4,4,4,1,4,4,4,Slytherin
3,3,3,3,3,3,3,3,3,3,Ravenclaw
1,2,2,3,1,3,2,2,2,2,Hufflepuff
1,1,1,1,1,1,1,3,2,1,Gryffindor
2,2,2,3,4,1,4,2,1,2,Hufflepuff
3,1,3,4,2,2,3,2,1,3,Ravenclaw
2,3,3,2,3,3,3,4,3,2,Ravenclaw
1,3,1,1,2,3,2,3,2,3,Hufflepuff
1,1,3,1,1,1,1,1,1,1,Gryffindor
4,2,2,1,4,2,4,2,3,2,Hufflepuff
3,3,3,3,3,1,3,2,3,3,Ravenclaw
2,2,2,2,2,2,2,2,2,3,Hufflepuff
1,2,4,2,1,2,3,1,2,3,Hufflepuff
3,2,3,3,2,3,3,3,1,1,Ravenclaw
4,1,2,2,2,1,2,2,2,1,Hufflepuff
1,1,1,4,1,1,1,1,4,1,Gryffindor
2,2,2,4,2,4,2,2,2,2,Hufflepuff
3,1,3,3,4,3,3,3,3,3,Ravenclaw
4,1,1,1,1,1,4,3,2,1,Gryffindor
1,1,1,1,1,1,1,1,3,1,Gryffindor
1,1,1,1,1,1,1,1,1,1,Gryffindor
3,1,2,1,3,3,3,4,1,3,Ravenclaw
4,4,1,2,4,4,4,4,4,4,Slytherin
1,1,1,1,3,1,3,3,3,1,Gryffindor
2,2,3,2,2,2,2,2,2,2,Hufflepuff
2,2,2,2,2,2,2,1,2,2,Hufflepuff
3,3,3,4,3,1,4,3,2,1,Ravenclaw
3,3,3,3,3,3,3,3,3,4,Ravenclaw
4,4,3,4,3,4,4,4,4,1,Slytherin
1,4,4,4,2,4,4,4,1,4,Slytherin
4,2,3,4,4,4,4,3,4,4,Slytherin
3,3,1,3,3,3,2,3,4,3,Ravenclaw
2,2,2,2,2,2,2,2,3,2,Hufflepuff
1,4,2,3,4,3,3,3,3,3,Ravenclaw
1,1,1,3,1,3,1,1,1,1,Gryffindor
2,1,3,2,1,3,3,2,3,3,Ravenclaw
3,3,2,2,2,2,4,2,3,4,Hufflepuff
2,2,2,2,4,2,3,2,2,2,Hufflepuff
1,1,1,1,3,1,3,1,1,1,Gryffindor
1,4,2,3,2,2,2,4,2,2,Hufflepuff
1,3,1,1,1,1,2,1,4,4,Gryffindor
3,3,3,3,3,3,3,4,2,3,Ravenclaw
3,3,3,1,1,3,2,3,3,3,Ravenclaw
1,1,2,3,1,1,1,2,1,1,Gryffindor
3,4,2,3,3,2,4,3,3,3,Ravenclaw
1,3,2,2,2,2,2,2,2,2,Hufflepuff
1,1,4,4,4,2,3,1,1,2,Gryffindor
1,3,1,4,4,1,1,1,1,1,Gryffindor
2,2,2,2,2,3,2,2,3,2,Hufflepuff
4,4,1,2,4,4,4,4,4,3,Slytherin
3,3,2,3,3,4,1,3,3,3,Ravenclaw
2,2,4,2,2,2,2,3,2,3,Hufflepuff
1,1,1,1,1,4,2,1,2,1,Gryffindor
1,1,4,1,1,1,3,1,1,2,Gryffindor
1,4,2,2,2,1,1,1,3,1,Gryffindor
3,4,3,3,3,3,3,4,3,1,Ravenclaw
1,2,1,1,2,2,1,1,4,4,Gryffindor
1,1,1,4,3,1,4,1,1,1,Gryffindor
4,1,4,1,2,4,4,2,1,4,Slytherin
4,4,4,4,2,4,1,4,1,4,Slytherin
1,3,1,3,4,3,4,1,1,4,Slytherin
2,4,4,3,4,4,4,4,4,4,Slytherin
4,4,4,4,4,4,1,4,4,4,Slytherin
2,3,3,2,3,3,4,3,3,3,Ravenclaw
4,2,4,4,4,4,4,1,4,3,Slytherin
2,2,2,2,1,2,2,4,2,1,Hufflepuff
1,3,2,2,1,2,3,2,2,2,Hufflepuff
1,1,3,2,1,1,1,2,1,4,Gryffindor
1,3,2,3,1,1,4,2,1,1,Gryffindor
3,3,3,3,3,1,3,3,3,3,Ravenclaw
4,2,4,4,3,4,4,3,4,1,Slytherin
1,1,1,3,3,3,3,3,3,3,Ravenclaw
1,1,3,4,1,1,3,1,2,3,Gryffindor
3,3,3,3,3,3,3,3,3,2,Ravenclaw
3,3,2,4,2,2,2,2,2,2,Hufflepuff
4,3,2,4,4,4,4,4,4,4,Slytherin
1,4,4,4,2,4,2,4,2,4,Slytherin
1,2,1,1,1,3,1,1,1,3,Gryffindor
2,2,4,2,2,4,2,1,2,2,Hufflepuff
4,4,4,3,4,4,4,3,4,4,Slytherin
4,4,4,3,4,2,2,4,4,4,Slytherin
4,4,4,3,4,2,4,4,4,4,Slytherin
2,2,2,1,2,2,2,2,4,2,Hufflepuff
3,3,2,4,2,3,2,3,3,3,Ravenclaw
4,4,1,4,4,4,4,4,2,4,Slytherin
3,4,1,3,1,3,3,3,2,3,Ravenclaw
2,4,4,4,4,4,2,3,4,4,Slytherin
4,3,1,1,1,1,1,3,1,1,Gryffindor
2,2,2,4,3,4,1,1,2,1,Hufflepuff
2,2,2,2,2,4,2,2,2,4,Hufflepuff
2,3,3,4,4,3,4,3,4,1,Slytherin
2,4,2,4,3,2,2,2,2,3,Hufflepuff
4,4,4,4,1,4,4,4,4,3,Slytherin
1,3,4,1,2,1,1,1,1,1,Gryffindor
1,1,1,2,1,1,3,1,4,1,Gryffindor
1,2,2,2,4,2,2,2,3,2,Hufflepuff
1,1,4,1,3,2,1,1,1,1,Gryffindor
1,2,4,3,2,1,1,1,1,1,Gryffindor
4,3,3,3,4,3,3,2,3,3,Ravenclaw
4,4,4,4,3,4,1,3,4,4,Slytherin
3,4,1,2,2,2,2,3,2,2,Hufflepuff
2,4,2,4,2,3,4,2,2,1,Slytherin
2,2,2,2,2,3,2,2,2,2,Hufflepuff
4,2,4,4,1,2,4,1,4,4,Slytherin
3,2,3,3,1,3,1,3,3,2,Ravenclaw
2,2,2,2,2,2,2,2,3,2,Hufflepuff
4,4,3,3,1,3,4,3,3,4,Ravenclaw
3,4,4,2,4,3,4,3,4,4,Slytherin
1,3,1,1,1,1,1,4,2,1,Gryffindor
4,1,4,4,3,4,4,4,4,3,Slytherin
3,1,3,4,4,3,3,3,3,4,Ravenclaw
2,3,4,4,3,4,2,4,4,4,Slytherin
2,2,2,1,1,2,2,4,4,2,Hufflepuff
3,3,3,3,3,3,3,3,3,3,Ravenclaw
1,4,1,1,1,1,1,1,1,1,Gryffindor
2,2,2,1,2,2,2,4,2,2,Hufflepuff
1,1,4,1,1,4,4,1,1,1,Gryffindor
2,2,2,2,3,4,2,2,2,2,Hufflepuff
3,3,3,3,3,3,3,3,3,3,Ravenclaw
4,1,1,2,1,1,3,1,1,1,Gryffindor
4,3,4,4,2,4,4,1,4,4,Slytherin
4,4,2,1,4,4,2,4,2,4,Slytherin
1,1,1,4,1,3,1,1,1,3,Gryffindor
2,3,4,4,1,4,2,3,1,4,Slytherin
3,1,3,2,3,3,3,3,3,2,Ravenclaw
4,4,4,3,2,3,2,4,4,4,Slytherin
3,3,3,3,4,3,4,3,1,4,Ravenclaw
3,4,3,3,1,3,3,3,1,4,Ravenclaw
4,4,4,3,2,1,1,4,4,2,Slytherin
1,4,1,3,1,1,2,1,4,4,Gryffindor
4,4,4,4,4,4,4,4,4,4,Slytherin
1,4,4,1,4,4,1,4,2,2,Slytherin
2,2,2,2,2,1,4,2,2,2,Hufflepuff
2,4,2,2,3,2,2,2,2,2,Hufflepuff
4,4,1,4,1,2,4,4,4,2,Slytherin
1,1,1,1,1,3,1,1,1,1,Gryffindor
2,2,3,2,2,2,1,4,2,2,Hufflepuff
1,1,1,1,4,1,1,2,1,1,Gryffindor
2,2,2,2,4,2,2,2,4,2,Hufflepuff
2,4,4,1,4,4,2,2,4,4,Slytherin
2,2,2,2,2,2,2,2,3,2,Hufflepuff
1,4,1,4,1,4,1,1,1,1,Gryffindor
4,4,2,3,4,4,4,4,3,2,Slytherin
4,2,2,2,4,2,2,2,2,4,Hufflepuff
4,4,4,1,4,3,4,3,4,4,Slytherin
3,3,3,4,3,3,3,4,2,3,Ravenclaw
3,4,3,3,3,3,1,3,3,3,Ravenclaw
4,4,4,2,4,4,4,4,1,2,Slytherin
2,2,1,1,2,2,2,4,2,2,Hufflepuff
3,3,2,3,3,3,4,3,3,3,Ravenclaw
4,2,2,4,4,4,4,4,4,3,Slytherin
4,4,1,4,4,4,1,4,1,4,Slytherin
1,4,3,3,3,3,3,3,2,3,Ravenclaw
3,3,3,3,3,4,3,3,1,3,Ravenclaw
1,1,1,1,1,1,1,2,2,1,Gryffindor
4,4,3,4,4,1,3,4,1,2,Slytherin
2,4,2,2,2,2,2,2,2,3,Hufflepuff
4,1,4,4,4,4,4,2,3,4,Slytherin
1,1,1,1,1,1,1,1,4,1,Gryffindor
2,2,2,2,2,2,2,2,2,2,Hufflepuff
3,3,1,1,3,3,3,2,3,1,Ravenclaw
2,3,2,3,1,2,2,4,2,3,Hufflepuff
1,1,1,1,4,1,4,1,1,1,Gryffindor
2,4,3,2,1,4,3,3,3,3,Ravenclaw
1,1,4,3,4,1,1,1,1,2,Gryffindor
4,4,2,2,3,3,4,4,4,4,Slytherin
3,4,3,2,1,2,2,4,1,2,Hufflepuff
4,4,4,4,4,4,3,4,4,4,Slytherin
1,1,4,1,1,2,1,1,3,1,Gryffindor
1,2,1,1,1,1,1,1,1,1,Gryffindor
2,1,1,1,2,1,1,1,1,1,Gryffindor
1,1,1,1,1,1,1,4,1,1,Gryffindor
1,1,2,1,4,1,1,1,1,1,Gryffindor
3,1,3,3,2,3,3,4,3,3,Ravenclaw
1,2,2,2,2,2,2,2,4,2,Hufflepuff
3,3,3,3,1,1,4,1,3,1,Gryffindor
4,4,4,4,3,1,4,4,4,4,Slytherin
4,1,4,4,4,4,1,4,3,4,Slytherin
3,4,4,4,4,3,4,4,4,4,Slytherin
3,4,4,2,4,4,4,4,4,3,Slytherin
3,3,3,3,3,1,3,3,2,3,Ravenclaw
3,3,1,1,2,4,1,1,4,1,Gryffindor
1,1,1,1,3,3,1,3,1,1,Gryffindor
1,1,1,1,1,1,1,1,1,1,Gryffindor
3,3,3,3,3,3,3,2,4,3,Ravenclaw
4,2,2,2,2,2,2,2,2,4,Hufflepuff
2,1,2,3,2,2,2,2,3,1,Hufflepuff
1,3,3,3,3,1,3,3,4,2,Ravenclaw
1,1,2,1,1,1,3,1,2,1,Gryffindor
1,1,1,1,1,1,1,1,1,1,Gryffindor
1,2,1,4,4,4,1,1,2,4,Slytherin
2,2,2,2,2,2,2,2,3,2,Hufflepuff
3,3,3,3,2,1,3,4,3,3,Ravenclaw
1,1,1,1,1,1,1,3,1,1,Gryffindor
4,2,4,2,2,4,4,4,4,4,Slytherin
2,3,3,4,3,2,4,3,3,3,Ravenclaw
4,3,3,1,3,1,3,3,3,1,Ravenclaw
2,4,3,2,3,2,3,3,3,3,Ravenclaw
4,4,4,4,3,4,4,4,4,4,Slytherin
3,3,2,3,3,3,3,3,3,3,Ravenclaw
2,3,1,3,1,3,2,2,1,2,Ravenclaw
3,3,3,4,3,3,3,4,4,3,Ravenclaw
1,1,2,1,1,3,2,1,1,1,Gryffindor
2,1,2,2,2,3,2,2,2,2,Hufflepuff
4,1,4,1,4,4,4,4,4,4,Slytherin
1,4,4,1,1,1,1,4,4,1,Gryffindor
4,3,1,2,2,2,3,3,1,2,Hufflepuff
3,1,4,4,4,4,4,1,4,4,Slytherin
4,4,4,4,4,1,4,4,4,4,Slytherin
2,3,3,3,3,3,3,3,2,3,Ravenclaw
4,4,1,2,4,2,4,1,4,4,Slytherin
4,3,4,4,4,4,4,4,3,4,Slytherin
3,3,3,1,3,3,3,1,4,3,Ravenclaw
1,2,1,3,1,1,1,1,1,1,Gryffindor
3,1,1,1,1,4,1,1,4,4,Gryffindor
3,3,3,4,3,3,3,4,3,3,Ravenclaw
1,2,2,1,2,1,1,1,1,1,Gryffindor
1,3,1,4,1,1,1,1,1,1,Gryffindor
1,4,1,1,2,4,4,4,2,1,Slytherin
4,1,3,1,1,1,1,1,1,4,Gryffindor
4,2,1,1,1,1,1,1,1,1,Gryffindor
2,2,2,4,2,2,2,2,2,2,Hufflepuff
3,4,3,1,3,2,1,3,3,3,Ravenclaw
2,2,2,1,3,2,3,2,2,2,Hufflepuff
1,1,1,3,1,1,1,4,1,4,Gryffindor
2,4,4,4,4,2,4,4,2,4,Slytherin
4,4,1,4,4,4,4,3,3,4,Slytherin
1,1,1,2,1,1,1,3,1,1,Gryffindor
4,1,4,2,4,3,2,4,4,4,Slytherin
4,3,4,4,4,4,4,4,4,4,Slytherin
2,2,1,2,2,2,2,2,4,1,Hufflepuff
4,4,4,2,2,4,4,4,4,4,Slytherin
4,3,1,3,2,1,1,1,1,1,Gryffindor
1,1,1,1,1,1,3,1,1,2,Gryffindor
4,4,4,1,4,4,4,4,4,4,Slytherin
1,1,2,1,3,1,1,1,1,1,Gryffindor
2,4,4,4,2,4,2,4,3,4,Slytherin
2,4,3,3,2,2,3,3,2,1,Ravenclaw
2,3,1,3,3,3,3,3,3,3,Ravenclaw
4,4,4,4,2,2,4,4,4,2,Slytherin
1,1,1,1,1,1,1,3,1,3,Gryffindor
4,3,2,3,2,3,3,3,3,4,Ravenclaw
4,4,4,4,2,3,4,4,4,4,Slytherin
1,3,3,3,3,3,4,3,3,3,Ravenclaw
3,3,3,4,4,3,3,2,3,3,Ravenclaw
2,3,3,3,3,3,3,1,3,4,Ravenclaw
4,4,4,4,4,4,4,4,1,3,Slytherin
2,2,2,1,1,2,1,1,2,2,Hufflepuff
1,4,4,4,4,3,4,1,4,2,Slytherin
3,3,1,3,3,3,3,3,1,3,Ravenclaw
1,3,2,2,2,1,3,2,2,1,Hufflepuff
1,1,1,3,1,4,1,2,3,1,Gryffindor
1,1,4,4,4,4,4,4,4,4,Slytherin
3,2,3,2,2,2,4,2,2,2,Hufflepuff
3,2,4,1,3,3,2,1,2,3,Gryffindor
4,4,4,2,1,4,4,4,2,4,Slytherin
2,2,3,4,3,3,3,3,3,3,Ravenclaw
3,1,3,3,3,3,3,3,2,1,Ravenclaw
3,2,3,1,1,4,3,3,4,3,Ravenclaw
2,2,2,4,2,2,2,2,2,2,Hufflepuff
2,3,3,3,4,2,2,2,1,2,Hufflepuff
1,1,3,1,1,3,1,1,1,1,Gryffindor
3,1,3,3,3,3,3,3,3,3,Ravenclaw
2,2,2,4,2,1,3,4,4,1,Hufflepuff
4,4,4,4,4,4,1,4,4,4,Slytherin
1,3,1,1,1,1,1,1,1,1,Gryffindor
4,1,4,2,4,2,1,4,4,4,Slytherin
4,3,3,4,3,3,4,3,3,3,Ravenclaw
4,4,4,4,2,4,4,2,4,4,Slytherin
4,4,4,4,4,1,4,4,4,3,Slytherin
1,1,4,1,1,1,1,1,1,4,Gryffindor
4,1,3,2,3,3,3,1,2,3,Ravenclaw
1,1,1,1,1,1,1,2,1,1,Gryffindor
1,1,1,1,1,1,1,2,1,2,Gryffindor
4,1,1,3,1,1,1,3,1,1,Gryffindor
4,4,4,4,4,4,4,4,4,2,Slytherin
1,1,2,1,1,1,1,1,4,3,Gryffindor
1,4,3,4,4,1,4,1,2,4,Slytherin
2,2,4,2,2,2,1,2,1,4,Hufflepuff
2,1,4,2,2,2,2,2,2,2,Hufflepuff
2,2,2,2,2,2,4,4,2,2,Hufflepuff
4,4,4,4,4,4,4,4,4,2,Slytherin
1,1,3,3,1,4,1,1,1,1,Gryffindor
2,2,1,1,2,2,2,2,2,2,Hufflepuff
2,1,2,2,2,2,2,3,2,2,Hufflepuff
2,4,2,4,2,2,1,2,2,2,Hufflepuff
4,4,4,4,4,4,2,4,4,4,Slytherin
3,3,2,2,1,2,1,2,2,4,Hufflepuff
4,4,4,4,4,4,4,2,2,4,Slytherin
2,2,2,2,2,4,2,2,2,2,Hufflepuff
2,1,2,2,2,2,2,1,4,1,Hufflepuff
2,4,2,3,3,2,3,4,3,1,Ravenclaw
1,1,2,2,4,3,1,1,1,1,Gryffindor
1,1,1,1,1,1,1,1,3,1,Gryffindor
3,3,3,3,3,3,4,2,3,3,Ravenclaw
3,2,2,4,1,4,2,2,3,2,Hufflepuff
2,2,1,4,2,2,3,2,2,2,Hufflepuff
3,3,1,3,3,3,3,4,3,3,Ravenclaw
2,2,2,2,2,2,4,2,2,2,Hufflepuff
4,4,4,2,4,4,4,4,4,3,Slytherin
4,4,4,2,1,3,4,4,4,4,Slytherin
1,3,1,4,1,2,4,1,1,1,Gryffindor
3,3,3,3,3,3,2,3,1,3,Ravenclaw
4,4,2,3,3,3,3,3,2,2,Ravenclaw
1,4,4,4,4,4,4,4,4,4,Slytherin
4,3,1,1,1,1,1,3,4,1,Gryffindor
1,4,1,1,1,3,3,1,1,1,Gryffindor
4,4,3,2,1,4,2,1,3,4,Slytherin
2,1,1,2,2,2,2,3,2,2,Hufflepuff
4,4,4,2,4,4,4,4,3,4,Slytherin
2,4,1,2,4,2,2,1,3,2,Hufflepuff
1,1,2,1,1,1,1,1,3,1,Gryffindor
3,3,3,1,3,3,1,3,3,3,Ravenclaw
1,1,1,1,3,1,1,1,2,1,Gryffindor
2,2,2,2,2,2,2,2,2,2,Hufflepuff
3,1,3,3,4,3,2,3,2,3,Ravenclaw
1,1,1,3,1,1,1,1,1,1,Gryffindor
4,3,1,4,4,2,3,4,2,4,Slytherin
2,3,2,2,2,2,3,2,2,4,Hufflepuff
1,1,1,3,1,1,4,3,1,1,Gryffindor
3,3,3,3,3,1,3,3,3,4,Ravenclaw
